URL,Topic,Content
https://www.utm.utoronto.ca/parking/,Parking,"We oversee all things parking on campus, and all things transportation related to UTM. If you have questions regarding parking on campus or transportation support to and from campus, we can help! Please see below, email us , or give us a call at (905) 828-5254 with any questions. We look forward to helping you get to & from campus - Current Alerts *New* Daily Rate Increase Seasonal Reminders Last day to cancel annual student permits: March 6, 2026. More Information All 2025-2026 permits are currently waitlisted. Waitlist information What can we help you with? Parking on Campus Transportation to & from Campus Permits for On-Campus Parking Visitor Parking Map | Parking on Campus Barrier-Free Parking UTM Department Vehicles General Parking Information Parking availability is not guaranteed. Traffic and parking usage on campus is particularly heavy between 8:00am and 10:00am in the morning as folks arrive, and during class change between 11:00am and 3:00pm. Please budget enough time into your commute to park and reach your destination. Additional overflow parking is available in lots P11 and Alumni House . All UTM permits are valid in these locations. A reminder that parking on grass, sidewalks, etc is Not permitted. Any vehicles parked improperly on campus will be subject to enforcement. Paid Parking & Enforcement are in full effect at all times. Winter Sessional Permit Presale Winter Sessional permits for lots P4/P8 will be available for purchase starting 10:00 a.m. Wednesday December 3, 2025. Find more information on parking permits here . Daily Rate Price Increase Please note that daily rates will increase on September 1, 2025. The Daily Maximum will increase by $.50. DID YOU KNOW: if you park on campus more than once a week, you save money with a parking permit? Find more information on parking permits here . Find more information on non-permit parking, or visitor parking, here . parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/AMPparkApp,Download our App,"Parking Payment Options on Campus The ""AMP Park"" app Now you have the choice to pay for parking using our easy-to-find and simple Pay & Display machines OR using the AMP Park app on your desktop or smartphone! Why do we love this app? Please note: You may not use the AMP app for parking past midnight, or overnight. Please use the Pay machines for parking past midnight and overnight parking. The AMP Park app A convenient way to pay for hourly or daily parking at UTM Apple Store Google Play How do I know if the app is right for me? How does the AMP app work for mobile? How does the AMP app work on desktop? What if I run in to issues using the AMP app? How do I know which purchase option is best for me? Pay Machine AMP App (mobile / desktop) How does the AMP app work for mobile? Step 1: Install the AMP Park App on your phone Apple Store Google Play Step 2: Using the ""Menu"" screen (three parallel lines), you may Login/Create an account with a unique password* *Creating an account is not required Step 3: Find your location on the map and click the appropriate map marker: Blue Map Marker Daytime parking Black Map Marker Evening / Weekend parking Review rate information and additional details. A non-refundable $0.25 transaction fee is applicable to each purchase. Step 4: Choose the amount of time you wish to park for Step 5: Enter your vehicle information Please ensure your license plate is entered correctly, otherwise your paid parking session will not be registered to your vehicle and you may end up getting ticketed Step 6: Select 'Continue' to go to checkout and fill out your credit card information. You may choose to save your credit card for extensions and future purchases. Step 7: Select 'Purchase' to finalize your parking payment Step 8: The current remaining time and option to extend your parking time are displayed in the app Step 9: You will receive an email receipt every time you purchase or extend your parking How does the AMP app work on desktop? Step 1: Open your preferred web browser and navigate to aimsmobilepay.com Step 2: Sign up and input your contact information if it is your first time, or login if you already have an account* * Creating an account is not required Step 3: Find your location on the map and click the appropriate map marker: Daytime parking Evening / Weekend parking Review rate information and additional details. A non-refundable $0.25 transaction fee is applicable to each purchase. Step 4: Choose the amount of time you wish to park for Step 5: Enter your vehicle information Please ensure your license plate is entered correctly, otherwise your paid parking session will not be registered to your vehicle and you may end up getting ticketed. Step 6: Select continue to go to the overview screen. Here you will add your credit card and billing information. Select purchase to finish the transaction. Step 7: Your remaining time will display with the option to extend time as long as you are still logged into the webpage. What if I run in to issues using the AMP app? If you are experiencing issues or errors with AMP, please try the following:"
https://www.utm.utoronto.ca/parking/barrier-free-parking,Barrier Free Parking,"Barrier Free Parking UTM Parking & Transportation Services is committed to providing barrier free parking spaces to UTM community members and visitors with accessible needs. UTM has a number of parking spaces dedicated to the use of those who have a Provincial Ministry of Transportation Accessible Parking Permit (APP) . These spaces are for the sole use of UTM community members who have an APP parking permit, used in conjunction with UTM paid parking. For additional information, please refer to the Parking Regulations which can be found here . Please refer to the list below regarding the locations of dedicated barrier free accessible parking spaces on campus. You may also refer to this map indicating the location of barrier free accessible parking spaces on campus . If you have additional questions, please contact the Parking Office at parking.utm@utoronto.ca for more information. Barrier Free Parking Spaces on Campus Access to MaGrath Valley Residence (Updated: June 17/25 - Currently Unavailable) Access to Alumni House Visitor barrier free parking: Daily visitor parking permits may be purchased in P4, P8, & P9, or CCT at the Pay & Display machines by way of coin, Visa, MasterCard, American Express, or debit (via tap payment) or by way of the AMP Parking App . Please purchase your daily visitor permit before proceeding to park your vehicle. Parking permits are required on all vehicles parked on UTM property throughout the year. Visitors with a Government issued (MTO) accessible parking permit must also display a valid pay and display when parking on campus. Temporary Accessible Accommodation Individuals with temporary accessible needs (for example, a broken leg) may obtain, from Parking Services, a Temporary Permit for lots where accessible spaces are located allowing the vehicle bearing the permit to park in a general space in an alternate parking lot location. Please note that this temporary permit does not authorize use of the designated accessible parking spaces . If you are a student, please contact and register your accomodation request with UTM Access Ability Resource Centre . If you are a Faculty or Staff member, please contact and register your accomodation request with the Health and Well Being Office . parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/car-care-center,UTM Car Care Center,"Car Care Center In a rush, unexpected spill, or expecting bad weather on your way home? Not to worry, we're here to help! WHAT IS IT? WASHER FLUID $1.85 / L Pay as you go! Only pay for what you use. AIR PUMP $2.50 for 5 minutes CAR VACUUM $3 for 5 minutes WHERE IS IT? When looking at the RAWC it is in the top left corner of Lower P8. Once you're finished with the services please move your car to a paid parking spot. Any unattended car in the UTM Car Care Centre may be ticketed and / or towed. Sustainability is important to us, the UTM Car Care Centre helps to eliminate more unnecessary washer fluid plastic bottles heading to the landfill. And speaking of sustainability... did you know that we get increased fuel economy with properly inflated tires? It is a convenient solution for those pressed for time, caught off-guard, or who simply want to eliminate one more stop in their day. Bad weather? Not in the P8 underground - don't get wet when using the UTM Car Care Centre."
https://www.utm.utoronto.ca/parking/contact-us,Contact Us,"Office Hours 8:30am-11am 12:30pm-3:30pm Our office is closed on statutory holidays Email us Visit us We are located on campus 1550 The Collegeway Alumni House Suite 108 Meet the Team here : parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/department-vehicles,Department Vehicles,"Department Vehicles Rules and Permits for UTM Department Vehicles Cost per lot P4 / P8 = $763.48 P5 = $1,099.95 P9 = $873.50 CCT = $1,364.15 Payment options To purchase a permit email the Parking & Transportation Services office. parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/license-plate-recognition-lpr,License Plate Recognition (LPR),"License Plate Recognition (LPR) License Plate Recognition We use License Plate Recognition (LPR) on campus! LPR is an advanced parking technology that uses a vehicle's license plate as a permit instead of paper permits or hangtags. It is no longer be necessary to display cash receipts or permits in vehicles parked on the UTM campus. Multiple vehicles may be registered to your permit, however only one vehicle can be parked on campus at any given time. If a single permit is being shared by multiple users and more than 1 vehicle needs to be parked on campus at the same time, the additional vehicle(s) are required to register and purchase their own paid parking. A permit is valid for one (1) single vehicle to be parked on campus at any given time. Frequently Asked Questions How does it work? Paid parking and enforcement are in effect at all times on the UTM campus What if I drive multiple vehicles or share my permit with someone else? How do I update my license plate information or add a new vehicle? You can update your vehicle/license plate information at any time by logging into your account. Click here for more details . What information does the University of Toronto collect about your vehicle? The LPR system employed by the University of Toronto is a third-party system that captures a photo of the license plate of each vehicle parked in a University of Toronto Mississauga parking lot, streets on campus, or managed parking areas. An alphanumeric version of the license plate number is then generated and used to link the vehicle to paid parking in the University's Permit Management system. The LPR system also captures the location of the vehicle, as well as the time and date. The photos taken by the LPR system are not of a resolution that would allow for the identification of vehicle occupants if present at the time the photo is taken. Under what authority does the University of Toronto collect this information? All vehicles parked on the UTM campus are subject to the Parking Rules & Regulations authorized by the Principal of University of Toronto Mississauga, acting on the advice of the University of Toronto Mississauga Campus Council within the power granted by the University of Toronto Act 1971, through the Governing Council. By purchasing a parking permit, applicants agree to provide the information necessary for the proper administration of the University's parking facilities, including license plate information. For additional information on the University's governance structure, please visit: governingcouncil.utoronto.ca/governance-bodies/utm-campus-council For what purposes does the University of Toronto use your information? Your personal information will not be used for employee monitoring or any other purpose. Who do we share your information with? All personal information is collected, transferred, accessed, encrypted and protected by the University through technical and process protections. We share your information internally only as necessary for the purposes outlined above. Access to records created and maintained in connection with the LPR system is restricted to trained, authorized personnel performing their duties and, when necessary, a limited number of personnel with safety, security, or legal compliance roles and responsibilities. Personal information may be shared with third-party vendors (such as information technology and LPR solutions providers) for storage and other processing of personal information. Personal information will not be sold or licensed to any third parties for secondary commercial purposes. How long do we keep your information for? All information collected through the LPR and Permit Management systems is stored, retained, and disposed of in compliance with the University's Records Management practices. parking.utm@utoronto.ca Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/parking-campus/parking-campus-faqs,FAQ,"Parking on Campus FAQs Frequently Asked Questions Is there anywhere on campus I can park for free? No, there is nowhere on campus that you can park for free. Parking must be paid for at all times. Is it true that I can park in any parking lot after 5:00 p.m. as long as I have a valid parking permit? Yes, all UTM parking permits are valid in all UTM parking lots after 5:00 p.m. from Monday to Friday and all day on Saturdays, Sundays and Statutory Holidays (with the exception of signed reserved spaces, car pool areas, resident parking - P6, P7 & P10 and the short term parking spaces on Inner Circle Road). I am a student who is only enrolled in evening classes. Is there a specific permit I can purchase that will allow me to park at night? Yes, you can purchase a monthly Evening parking permit. This permit is valid from 3:30 p.m. onward Monday-Thursday, and all day Friday/Saturday/Sunday & Holidays. It is valid in P4, P8 & P9. However, after 5:00 p.m. on weekdays and all day on weekends, permit holders may park in P1, P4, P5, P8, P9 and the CCT Garage as long as their permit is clearly displayed in the vehicle (with the exception of signed reserved spaces, car pool areas, resident parking - P6, P7 & P10 and the short term parking spaces on Inner Circle Road). If I have two or more cars, or need to make a change to my parking permit what can I do? You can register multiple vehicles (including rideshare/rental vehicles) to your parking permit, however only one (1) vehicle can be parked on campus at any given time. You can add/update license plates registered to your parking permit at any time by logging into your account here. If I have a valid UTM parking permit, can I also park at St. George or UTSC? If you have a valid UTM parking permit, you are only permitted to park in the designated lots at UTM. To inquire about parking for any other U of T campus, you must contact the Parking Office specific to that campus. I paid for parking at the Pay & Display machine but nothing printed. What should I do? Was I double-charged? If you attempted to pay for parking using a Pay machine and no slip printed, you were likely not charged. The machines operate by live authorizations and a ticket will only print if your transaction was approved. You are required to go through the steps again until the machine prints a slip. Failure to display a P&D slip for any reason (failed transaction, out of order machine, declined credit card, etc.) will result in a Parking Infraction Notice (parking ticket), issued by the City of Mississauga. Why can't I pay for parking at the Pay & Display machines in P1 and P5 on weekdays? On weekdays until 5:00 p.m., P1 & P5 are reserved for permit holders only. After 5:00 p.m. on weekdays and all day on weekends, patrons may purchase parking from the Pay & Display machines located in those lots. I only have to go into the William G. Davis Building for a few minutes. Is there somewhere close by I can park? Yes, you can pay for parking for up to 90 minutes (enforced maximum) in the short-term parking area located outside the William G. Davis Building. Do faculty and staff pay for parking? Yes, all faculty and staff pay for parking and they pay the same rates as students. How are parking fees set? Fees are set to cover the total costs of providing and maintaining parking facilities, smoothed over a reasonable number of years. This approach reduces the need to increase fees by large amounts in any given year (as had to be done several years ago when the underground CCT garage was built). Rather, fees are set to cover the costs over a reasonable timeframe, depending on the nature of the various costs involved. For example, the operation is currently paying back money borrowed to build the extension to the deck in lot P8 which was completed in 2016. How do I cancel my parking permit? Permits may be cancelled according to the cancellation schedule (Cancellations & Refunds) Cancellation requests must be received through the Parking Permit Portal. Many students are under severe financial pressure and cannot afford UTM parking rates. How is this issue of affordability/accessibility being addressed? Parking is one of many costs that a student may incur related to education. Anyone who is struggling financially should contact Financial Aid in the Office of the Registrar. Financial Aid is approached on a holistic basis, taking into account the financial situation of each particular student. Financial Aid Advisors will meet with a student and provide options after reviewing a student's entire financial situation, not just one aspect of it. Financial Aid offers walk-in advising, and can assist a student in reviewing their budget and identifying cost-effective strategies for managing their educational expenses. For example, in some cases Advisors may suggest alternative transportation methods which are readily available - such as taking advantage of the ‘U-pass' program, which allows UTM students unlimited fare-free rides on MiWay, Mississauga Transit's bus system. As well, the shuttle bus service that runs between the UTM and the St. George campus is free of charge for UTM students and is a cost-effective alternative for students who are taking courses at St. George and/or travel to downtown Toronto on a regular basis. Finally, sessional permits are available which allow students to purchase parking for individual sessions as compared to the 12 month annual pass, providing a more affordable option. License Plate Recognition We are excited to launch the use of License Plate Recognition (LPR) on campus. LPR is an advanced parking technology that uses a vehicle's license plate as a permit instead of paper permits or hangtags. Multiple vehicles may be registered to your permit, however only one vehicle can be parked on campus at any given time. If a single permit is being shared by multiple users and more than 1 vehicle needs to be parked on campus at the same time, the additional vehicle(s) are required to register and purchase their own paid parking. A permit is valid for one (1) single vehicle to be parked on campus at any given time. What information does the University of Toronto collect about your vehicle? The LPR system employed by the University of Toronto is a third-party system that captures a photo of the license plate of each vehicle parked in a University of Toronto Mississauga parking lot, streets on campus, or managed parking areas. An alphanumeric version of the license plate number is then generated and used to link the vehicle to paid parking in the University's Permit Management system. The LPR system also captures the location of the vehicle, as well as the time and date. The photos taken by the LPR system are not of a resolution that would allow for the identification of vehicle occupants if present at the time the photo is taken. Under what authority does the University of Toronto collect this information? All vehicles parked on the UTM campus are subject to the Parking Rules & Regulations authorized by the Principal of University of Toronto Mississauga, acting on the advice of the University of Toronto Mississauga Campus Council within the power granted by the University of Toronto Act 1971, through the Governing Council. By purchasing a parking permit, applicants agree to provide the information necessary for the proper administration of the University's parking facilities, including license plate information. For additional information on the University's governance structure, please visit: For what purposes does the University of Toronto use your information? Information collected by the LPR system may be used for: Your personal information will not be used for employee monitoring or any other purpose. Who do we share your information with? All personal information is collected, transferred, accessed, encrypted and protected by the University through technical and process protections. We share your information internally only as necessary for the purposes outlined above. Access to records created and maintained in connection with the LPR system is restricted to trained, authorized personnel performing their duties and, when necessary, a limited number of personnel with safety, security, or legal compliance roles and responsibilities. Personal information may be shared with third-party vendors (such as information technology and LPR solutions providers) for storage and other processing of personal information. Personal information will not be sold or licensed to any third parties for secondary commercial purposes. How long do we keep your information for? All information collected through the LPR and Permit Management systems is stored, retained, and disposed of in compliance with the University's Records Management practices. parking.utm@utoronto.ca Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/parking-campus/parking-map,,"Parking Map We're pleased to be able to offer a parking map for you to use for the UTM campus. Map includes: Travelling to Campus For additional maps and directions to campus, please check out UTM Visitors Download PDF Reader If you are unable to open the above PDF documents, please download and install the Adobe Reader available here Download UTM PDF Parking Map Here Download UTM PDF Parking Map Here parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
https://www.utm.utoronto.ca/parking/parking-campus/rules-regulations,Rules & Regulations,"Rules & Regulations 1) SUMMARY OF CONDITIONS 2) AUTHORITY 3) PARKING & TRAFFIC REGULATIONS 4) ELIGIBILITY 5) PERMITS AND PASSES 6) STUDENT PERMITS 7) ST. GEORGE CAMPUS PARKING PERMITS 8) PAYMENT FOR PERMITS 9) CANCELLATIONS AND REFUNDS 10) BARRIER FREE (ACCESSIBLE) PARKING 11) EV CHARGING 12) SPECIAL CIRCUMSTANCES 13) PAY-BY-PLATE PARKING 14) ENFORCEMENT 15) FINES AND PENALTIES 16) Pay-By-Phone Parking (AMP App) 17) Data Retention 1) SUMMARY OF CONDITIONS 2) AUTHORITY 3) PARKING & TRAFFIC REGULATIONS 4) ELIGIBILITY 5) PERMITS AND PASSES 6) STUDENT PERMITS 7) ST. GEORGE CAMPUS PARKING PERMITS St. George Contact information: transportation@utoronto.ca • transportation.utoronto.ca 8) PAYMENT FOR PERMITS 9) CANCELLATIONS AND REFUNDS 10) BARRIER FREE (ACCESSIBLE) PARKING In other words, visitors, staff, faculty and students may park in any barrier free (accessible) parking space in any lot on campus, provided a valid MTO Accessible Parking Permit (APP) is clearly displayed, and the vehicle is registered to valid, paid UTM parking. [BH14] 11) EV CHARGING 12) SPECIAL CIRCUMSTANCES 13) PAY-BY-PLATE PARKING 14) ENFORCEMENT 15) FINES AND PENALTIES 16) Pay-By-Phone Parking (AMP App) 17) Data Retention parking.utm@utoronto.ca 905-828-5254 Alumni House, Room 108 Making experiences, exceptional"
